文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobileEditFeeModelBottomSheet,108,模式名称输入提示,例如：万分之二点五,modelNameInputHint
MobileEditFeeModelBottomSheet,116,模式名称必填验证,请输入模式名称,modelNameRequiredValidation
MobileEditFeeModelBottomSheet,119,模式名称长度验证,模式名称至少需要2个字符,modelNameLengthValidation
MobileEditFeeModelBottomSheet,131,模式描述输入标签,模式描述,modelDescriptionInputLabel
MobileEditFeeModelBottomSheet,132,模式描述输入提示,描述此手续费模式的适用场景和特点,modelDescriptionInputHint
MobileEditFeeModelBottomSheet,141,模式描述必填验证,请输入模式描述,modelDescriptionRequiredValidation
MobileEditFeeModelBottomSheet,167,编辑模式提示信息,修改手续费模式不会影响已有的费率规则,editModeHintMessage
MobileEditFeeModelBottomSheet,191,取消按钮文本,取消,cancelButton
MobileEditFeeModelBottomSheet,213,保存按钮文本,保存,saveButton
MobileEditFeeModelBottomSheet,249,更新失败错误提示,更新手续费模式失败：$e,updateFeeModelFailedErrorFormat
MobileFeeSettingsScreen,19,手续费模式设置页面标题,手续费模式设置,feeModelSettingsPageTitle
MobileFeeSettingsScreen,57,添加手续费模式提示,添加手续费模式,addFeeModelTooltip
MobileCreateFeeModelBottomSheet,76,创建手续费模式标题,创建手续费模式,createFeeModelTitle
MobileCreateFeeModelBottomSheet,97,模式名称输入标签,模式名称,modelNameInputLabel
MobileCreateFeeModelBottomSheet,98,模式名称输入提示,例如：万分之二点五,modelNameInputHint
MobileCreateFeeModelBottomSheet,106,模式名称必填验证,请输入模式名称,modelNameRequiredValidation
MobileCreateFeeModelBottomSheet,109,模式名称长度验证,模式名称至少需要2个字符,modelNameLengthValidation
MobileCreateFeeModelBottomSheet,121,模式描述输入标签,模式描述,modelDescriptionInputLabel
MobileCreateFeeModelBottomSheet,122,模式描述输入提示,描述此手续费模式的适用场景和特点,modelDescriptionInputHint
MobileCreateFeeModelBottomSheet,131,模式描述必填验证,请输入模式描述,modelDescriptionRequiredValidation
MobileCreateFeeModelBottomSheet,158,创建模式提示信息,创建手续费模式后，您可以为其添加具体的费率规则,createModeHintMessage
MobileCreateFeeModelBottomSheet,182,取消按钮文本,取消,cancelButton
MobileCreateFeeModelBottomSheet,204,创建按钮文本,创建,createButton
MobileCreateFeeModelBottomSheet,241,创建失败错误提示,创建手续费模式失败：$e,createFeeModelFailedErrorFormat
MobileCreateFeeRuleBottomSheet,82,创建费率规则标题,创建费率规则,createFeeRuleTitle
MobileCreateFeeRuleBottomSheet,113,基本信息分组标题,基本信息,basicInfoSectionTitle
MobileCreateFeeRuleBottomSheet,120,规则名称输入标签,规则名称,ruleNameInputLabel
MobileCreateFeeRuleBottomSheet,121,规则名称输入提示,例如：标准佣金,ruleNameInputHint
MobileCreateFeeRuleBottomSheet,129,规则名称必填验证,请输入规则名称,ruleNameRequiredValidation
MobileCreateFeeRuleBottomSheet,141,规则类型输入标签,规则类型,ruleTypeInputLabel
MobileCreateFeeRuleBottomSheet,154,通用规则类型选项,通用,generalRuleTypeOption
MobileCreateFeeRuleBottomSheet,164,买入规则类型选项,买入,buyRuleTypeOption
MobileCreateFeeRuleBottomSheet,174,卖出规则类型选项,卖出,sellRuleTypeOption
MobileCreateFeeRuleBottomSheet,190,费率参数分组标题,费率参数,feeParametersSectionTitle
MobileCreateFeeRuleBottomSheet,197,费率百分比输入标签,费率百分比,feePercentageInputLabel
MobileCreateFeeRuleBottomSheet,198,费率百分比输入提示,例如: 0.25 表示 0.25%,feePercentageInputHint
MobileCreateFeeRuleBottomSheet,208,费率必填验证,请输入费率,feeRequiredValidation
MobileCreateFeeRuleBottomSheet,211,费率数字验证,请输入有效的数字,feeNumberValidation
MobileCreateFeeRuleBottomSheet,226,最低费用输入标签,最低费用,minimumFeeInputLabel
MobileCreateFeeRuleBottomSheet,235,最低费用必填验证,请输入最低费用,minimumFeeRequiredValidation
MobileCreateFeeRuleBottomSheet,238,最低费用数字验证,请输入有效的数字,minimumFeeNumberValidation
MobileCreateFeeRuleBottomSheet,250,最高费用输入标签,最高费用,maximumFeeInputLabel
MobileCreateFeeRuleBottomSheet,251,最高费用输入提示,0表示无上限,maximumFeeInputHint
MobileCreateFeeRuleBottomSheet,260,最高费用必填验证,请输入最高费用,maximumFeeRequiredValidation
MobileCreateFeeRuleBottomSheet,263,最高费用数字验证,请输入有效的数字,maximumFeeNumberValidation
MobileCreateFeeRuleBottomSheet,275,适用范围分组标题,适用范围,applicableScopeSectionTitle
MobileCreateFeeRuleBottomSheet,285,起始金额输入标签,起始金额,startAmountInputLabel
MobileCreateFeeRuleBottomSheet,294,起始金额必填验证,请输入起始金额,startAmountRequiredValidation
MobileCreateFeeRuleBottomSheet,297,起始金额数字验证,请输入有效的数字,startAmountNumberValidation
MobileCreateFeeRuleBottomSheet,309,结束金额输入标签,结束金额,endAmountInputLabel
MobileCreateFeeRuleBottomSheet,310,结束金额输入提示,0表示无限制,endAmountInputHint
MobileCreateFeeRuleBottomSheet,319,结束金额必填验证,请输入结束金额,endAmountRequiredValidation
MobileCreateFeeRuleBottomSheet,322,结束金额数字验证,请输入有效的数字,endAmountNumberValidation
MobileCreateFeeRuleBottomSheet,352,费率规则帮助文本,• 费率以百分比形式输入，如0.25表示0.25%\n• 金额范围0表示无限制\n• 通用规则适用于买入和卖出操作,feeRuleHelpText
MobileCreateFeeRuleBottomSheet,394,取消按钮文本,取消,cancelButton
MobileCreateFeeRuleBottomSheet,416,创建按钮文本,创建,createButton
MobileCreateFeeRuleBottomSheet,481,创建失败错误提示,创建费率规则失败：$e,createFeeRuleFailedErrorFormat
MobileEmptyFeeState,23,暂无手续费模式提示,暂无手续费模式,noFeeModelsMessage
MobileEmptyFeeState,34,创建手续费模式描述,创建手续费模式来管理交易手续费计算规则,createFeeModelDescription
MobileEmptyFeeState,45,创建手续费模式提示,点击右下角的 + 按钮开始创建,createFeeModelHint
MobileAccountSettingsScreen,19,账户管理页面标题,账户管理,accountManagementPageTitle
MobileAccountSettingsScreen,141,订阅到期时间格式,到期时间: ${_formatExpiryDate(subscriptionExpiry)},subscriptionExpiryTimeFormat
MobileAccountSettingsScreen,142,订阅已过期提示,订阅已过期,subscriptionExpiredMessage
MobileAccountSettingsScreen,165,购买管理分组标题,购买管理,purchaseManagementSectionTitle
MobileAccountSettingsScreen,175,恢复购买操作标题,恢复购买,restorePurchaseActionTitle
MobileAccountSettingsScreen,176,恢复购买操作描述,恢复您之前购买的订阅,restorePurchaseActionDescription
MobileAccountSettingsScreen,192,升级会员操作标题,升级会员,upgradeMembershipActionTitle
MobileAccountSettingsScreen,193,升级会员操作描述,解锁所有高级功能,upgradeMembershipActionDescription
MobileAccountSettingsScreen,214,法律条款分组标题,法律条款,legalTermsSectionTitle
MobileAccountSettingsScreen,224,利用规约操作标题,利用规约,termsOfUseActionTitle
MobileAccountSettingsScreen,225,利用规约操作描述,查看应用使用条款,termsOfUseActionDescription
MobileAccountSettingsScreen,233,隐私政策操作标题,隐私政策,privacyPolicyActionTitle
MobileAccountSettingsScreen,234,隐私政策操作描述,了解我们如何保护您的隐私,privacyPolicyActionDescription
MobileAccountSettingsScreen,241,帮助与支持操作标题,帮助与支持,helpAndSupportActionTitle
MobileAccountSettingsScreen,242,帮助与支持操作描述,获取使用帮助和技术支持,helpAndSupportActionDescription
MobileAccountSettingsScreen,258,其他设置分组标题,其他设置,otherSettingsSectionTitle
MobileAccountSettingsScreen,268,意见反馈操作标题,意见反馈,feedbackActionTitle
MobileAccountSettingsScreen,269,意见反馈操作描述,帮助我们改进产品,feedbackActionDescription
MobileAccountSettingsScreen,277,给我们评分操作标题,给我们评分,rateUsActionTitle
MobileAccountSettingsScreen,278,给我们评分操作描述,在应用商店为我们评分,rateUsActionDescription
MobileAccountSettingsScreen,427,基础功能可用状态,基础功能可用,basicFeaturesAvailableStatus
MobileAccountSettingsScreen,429,月度订阅激活状态,月度订阅激活中,monthlySubscriptionActiveStatus
MobileAccountSettingsScreen,429,月度订阅过期状态,月度订阅已过期,monthlySubscriptionExpiredStatus
MobileAccountSettingsScreen,431,年度订阅激活状态,年度订阅激活中,yearlySubscriptionActiveStatus
MobileAccountSettingsScreen,431,年度订阅过期状态,年度订阅已过期,yearlySubscriptionExpiredStatus
MobileAccountSettingsScreen,433,终身会员状态,终身会员，畅享所有功能,lifetimeMembershipStatus
MobileAccountSettingsScreen,443,无效日期提示,无效日期,invalidDateMessage
MobileAccountSettingsScreen,464,恢复购买成功标题,恢复购买,restorePurchaseSuccessTitle
MobileAccountSettingsScreen,465,恢复购买成功内容,购买恢复成功,restorePurchaseSuccessContent
MobileAccountSettingsScreen,474,恢复购买失败标题,恢复购买,restorePurchaseFailedTitle
MobileAccountSettingsScreen,475,恢复购买失败内容,恢复购买失败，请重试,restorePurchaseFailedContent
MobileAccountSettingsScreen,486,升级会员对话框标题,升级会员,upgradeMembershipDialogTitle
MobileAccountSettingsScreen,493,月度订阅选项标题,月度订阅,monthlySubscriptionOptionTitle
MobileAccountSettingsScreen,494,月度订阅价格,¥9/月,monthlySubscriptionPrice
MobileAccountSettingsScreen,495,月度订阅描述,按月计费，随时取消,monthlySubscriptionDescription
