文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobilePortfolioConfirmationPage,95,币种信息行,币种,currencyInfoRow
MobilePortfolioConfirmationPage,97,投资类型信息行,投资类型,investmentTypeInfoRow
MobilePortfolioConfirmationPage,99,交易方向信息行,交易方向,tradingDirectionInfoRow
MobilePortfolioConfirmationPage,127,创建后可修改提示,创建后您可以随时在设置中修改这些信息,canModifyAfterCreationHint
MobilePortfolioConfirmationPage,229,创建投资组合按钮文本,创建投资组合,createPortfolioButton
MobileEulaPage,36,用户许可协议标题,用户许可协议,eulaPageTitle
MobileEulaPage,71,重要提示标题,重要提示：,importantNoticeTitle
MobileEulaPage,76,协议约束说明,在使用本软件（以下简称"本软件"）之前，请您仔细阅读并理解本协议的全部内容。一旦您下载、安装、复制或以其他方式使用本软件，即表示您同意受本协议的约束。,agreementBindingDescription
MobileEulaPage,81,接受条款标题,1. 接受条款,acceptTermsTitle
MobileEulaPage,82,接受条款内容,通过下载、安装或使用Trade Flex应用程序，您同意受本协议条款的约束。如果您不同意这些条款，请不要使用本应用程序。,acceptTermsContent
MobileEulaPage,84,应用程序描述标题,2. 应用程序描述,applicationDescriptionTitle
MobileEulaPage,85,应用程序描述内容,Trade Flex是一款交易日记应用程序，旨在帮助用户记录、跟踪和分析他们的投资交易。本应用程序仅供个人使用。,applicationDescriptionContent
MobileEulaPage,87,数据隐私标题,3. 数据隐私,dataPrivacyTitle
MobileEulaPage,88,数据隐私内容,我们重视您的隐私。您的交易数据将存储在您的设备上，我们不会收集或传输您的个人交易信息到我们的服务器。,dataPrivacyContent
MobileEulaPage,90,免责声明标题,4. 免责声明,disclaimerTitle
MobileEulaPage,91,免责声明内容,本应用程序提供的信息仅供参考，不构成投资建议。投资有风险，您应该根据自己的判断做出投资决策。,disclaimerContent
MobileEulaPage,93,使用限制标题,5. 使用限制,usageLimitationsTitle
MobileEulaPage,94,使用限制内容,您同意不会将本应用程序用于任何非法目的，也不会以任何可能损害、禁用、过载或损害应用程序的方式使用。,usageLimitationsContent
MobileEulaPage,96,更新和修改标题,6. 更新和修改,updatesAndModificationsTitle
MobileEulaPage,97,更新和修改内容,我们保留随时修改本协议的权利。任何修改将在应用程序中发布，继续使用应用程序即表示您接受修改后的条款。,updatesAndModificationsContent
MobileEulaPage,101,协议接受说明,您一旦点击"我已阅读并同意上述协议"或实际使用本软件，即视为已阅读、理解并同意接受本协议的全部条款。,agreementAcceptanceDescription
MobileEulaPage,126,我已阅读并同意按钮,我已阅读并同意上述协议,iHaveReadAndAgreeButton
MobileWelcomePageContent,33,记录交易功能标题,记录交易,recordTradesFeatureTitle
MobileWelcomePageContent,34,记录交易功能描述,轻松记录每一笔交易的详细信息,recordTradesFeatureDescription
MobileWelcomePageContent,41,分析表现功能标题,分析表现,analyzePerformanceFeatureTitle
MobileWelcomePageContent,42,分析表现功能描述,深入分析您的交易策略和收益,analyzePerformanceFeatureDescription
MobileWelcomePageContent,49,获得洞察功能标题,获得洞察,gainInsightsFeatureTitle
MobileWelcomePageContent,50,获得洞察功能描述,发现交易模式，提升投资技能,gainInsightsFeatureDescription
MobileTrackTradesPageContent,33,快速记录功能标题,快速记录,quickRecordFeatureTitle
MobileTrackTradesPageContent,34,快速记录功能描述,一键添加买入和卖出交易,quickRecordFeatureDescription
MobileTrackTradesPageContent,42,详细信息功能标题,详细信息,detailedInfoFeatureTitle
MobileTrackTradesPageContent,43,详细信息功能描述,记录价格、数量、手续费等,detailedInfoFeatureDescription
MobileTrackTradesPageContent,51,交易历史功能标题,交易历史,tradingHistoryFeatureTitle
MobileTrackTradesPageContent,52,交易历史功能描述,查看完整的交易记录,tradingHistoryFeatureDescription
MobileAnalyzePerformancePageContent,36,收益率功能标题,收益率,returnRateFeatureTitle
MobileAnalyzePerformancePageContent,37,收益率功能描述,实时计算投资回报,returnRateFeatureDescription
MobileAnalyzePerformancePageContent,46,资产分布功能标题,资产分布,assetDistributionFeatureTitle
MobileAnalyzePerformancePageContent,47,资产分布功能描述,可视化投资组合,assetDistributionFeatureDescription
MobileAnalyzePerformancePageContent,61,趋势分析功能标题,趋势分析,trendAnalysisFeatureTitle
MobileAnalyzePerformancePageContent,62,趋势分析功能描述,发现交易模式,trendAnalysisFeatureDescription
MobileAnalyzePerformancePageContent,71,风险评估功能标题,风险评估,riskAssessmentFeatureTitle
MobileAnalyzePerformancePageContent,72,风险评估功能描述,管理投资风险,riskAssessmentFeatureDescription
