文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
SummaryWidget,547,当前现金比例已接近目标提示,当前现金比例已接近目标,currentCashRatioNearTargetMessage
SummaryWidget,549,可取出现金建议格式,可取出约 $statCurrencySymbol ${cashDifference.abs().toStringAsFixed(2)} 现金或者增加等值的持仓,canWithdrawCashSuggestionFormat
SummaryWidget,550,需存入现金建议格式,需存入约 $statCurrencySymbol ${cashDifference.abs().toStringAsFixed(2)} 现金或者减少等值的持仓,needDepositCashSuggestionFormat
SummaryWidget,566,资金分配标题,资金分配 (基于当前比例),fundAllocationTitle
SummaryWidget,594,现金仓位100%格式,现金仓位 $statCurrencySymbol ${cashAmount.toStringAsFixed(2)} (100%),cashPosition100PercentFormat
SummaryWidget,595,现金仓位格式,现金仓位 $statCurrencySymbol ${cashAmount.toStringAsFixed(2)},cashPositionFormat
SummaryWidget,608,持仓仓位100%格式,持仓仓位 $statCurrencySymbol ${investedAmount.toStringAsFixed(2)} (100%),investedPosition100PercentFormat
SummaryWidget,609,持仓仓位格式,持仓仓位 $statCurrencySymbol ${investedAmount.toStringAsFixed(2)},investedPositionFormat
SummaryWidget,639,目标标签,目标,targetLabel
SummaryWidget,654,现金目标格式,现金: $statCurrencySymbol ${cashAmount.toStringAsFixed(2)},cashTargetFormat
SummaryWidget,662,持仓目标格式,持仓: $statCurrencySymbol ${investedAmount.toStringAsFixed(2)},investedTargetFormat
SummaryWidget,715,无法显示资金分配标题,无法显示资金分配,cannotDisplayFundAllocationTitle
SummaryWidget,727,无入金记录或持仓信息提示,您还没有入金记录或持仓信息。\n添加入金记录来开始追踪您的投资组合资金分配。,noDepositRecordOrPositionInfoMessage
TransactionHistoryList,69,历史记录标题,历史记录,historyRecordsTitle
TransactionHistoryList,94,显示所有投资组合过滤文本,显示: 所有投资组合,showAllPortfoliosFilterText
TransactionHistoryList,95,显示投资组合过滤格式,显示: ${_getSelectedPortfolioName()},showPortfolioFilterFormat
TransactionHistoryList,119,过滤选项工具提示,过滤选项,filterOptionsTooltip
TransactionHistoryList,169,排序选项工具提示,排序选项,sortOptionsTooltip
TransactionHistoryList,263,暂无资金操作记录提示,暂无资金操作记录,noFundOperationRecordsMessage
TransactionHistoryList,264,该投资组合暂无资金操作记录提示,该投资组合暂无资金操作记录,thisPortfolioNoFundOperationRecordsMessage
TransactionHistoryList,276,刷新按钮文本,刷新,refreshButton
TransactionHistoryList,370,汇率获取失败提示,汇率获取失败,exchangeRateFailedMessage
TransactionHistoryList,381,编辑此记录工具提示,编辑此记录,editThisRecordTooltip
TransactionHistoryList,390,删除此记录工具提示,删除此记录,deleteThisRecordTooltip
TransactionHistoryList,417,编辑入金记录对话框标题,编辑入金记录,editDepositRecordDialogTitle
TransactionHistoryList,417,编辑出金记录对话框标题,编辑出金记录,editWithdrawRecordDialogTitle
TransactionHistoryList,427,交易日期标签,交易日期,transactionDateLabel
TransactionHistoryList,453,金额标签,金额,amountLabel
TransactionHistoryList,466,备注标签,备注,remarksLabel
TransactionHistoryList,477,取消按钮文本,取消,cancelButton
TransactionHistoryList,484,保存按钮文本,保存,saveButton
TransactionHistoryList,490,请输入有效金额验证错误,请输入有效的金额,pleaseEnterValidAmountValidationError
TransactionHistoryList,526,确认删除对话框标题,确认删除,confirmDeleteDialogTitle
TransactionHistoryList,527,确认删除对话框内容,您确定要删除这条记录吗？此操作无法撤销。,confirmDeleteDialogContent
TransactionHistoryList,530,取消按钮文本,取消,cancelButton
TransactionHistoryList,537,删除按钮文本,删除,deleteButton
