文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobileAddTradeAdditionalInfoSection,93,标签输入提示,输入标签，用空格分隔,tagsInputHint
MobileAddTradeAdditionalInfoSection,106,添加标签按钮提示,添加标签,addTagTooltip
MobileAddTradeAdditionalInfoSection,125,已选标签标题,已选标签,selectedTagsTitle
MobileAddTradeAdditionalInfoSection,169,暂无常用标签提示,暂无常用标签,noCommonTagsMessage
MobileAddTradeAdditionalInfoSection,253,请输入标签验证格式,请输入$label,pleaseEnterLabelValidationFormat
MobileAddTradeAdditionalInfoSection,256,请输入有效数字验证,请输入有效的数字,pleaseEnterValidNumberValidation
MobileAddTradeAdditionalInfoSection,262,请输入有效数字验证,请输入有效的数字,pleaseEnterValidNumberValidation
MobileTradeDetailBottomSheet,99,交易信息分组标题,交易信息,transactionInfoSectionTitle
MobileTradeDetailBottomSheet,103,股票代码详情行,股票代码,stockCodeDetailRow
MobileTradeDetailBottomSheet,105,子持仓详情行,子持仓,subPositionDetailRow
MobileTradeDetailBottomSheet,106,交易数量详情行,交易数量,tradingQuantityDetailRow
MobileTradeDetailBottomSheet,107,成交价格详情行,成交价格,executionPriceDetailRow
MobileTradeDetailBottomSheet,108,交易日期详情行,交易日期,tradingDateDetailRow
MobileTradeDetailBottomSheet,109,交易ID详情行,交易ID,transactionIdDetailRow
MobileTradeDetailBottomSheet,120,价格分析分组标题,价格分析,priceAnalysisSectionTitle
MobileTradeDetailBottomSheet,125,现在均价详情行,现在均价,currentAveragePriceDetailRow
MobileTradeDetailBottomSheet,127,摊薄均价详情行,摊薄均价,dilutedAveragePriceDetailRow
MobileTradeDetailBottomSheet,129,手续费详情行,手续费,feesDetailRow
MobileTradeDetailBottomSheet,131,股息金额详情行,股息金额,dividendAmountDetailRow
MobileTradeDetailBottomSheet,155,主观情绪指数分组标题,主观情绪指数,subjectiveEmotionIndexSectionTitle
MobileTradeDetailBottomSheet,162,情绪指数详情行,情绪指数,emotionIndexDetailRow
MobileTradeDetailBottomSheet,177,资产信息分组标题,资产信息,assetInfoSectionTitle
MobileTradeDetailBottomSheet,181,资产位置详情行,资产位置,assetLocationDetailRow
MobileTradeDetailBottomSheet,193,备注信息分组标题,备注信息,notesInfoSectionTitle
MobileTradeDetailBottomSheet,197,备注详情行,备注,notesDetailRow
MobileTradeDetailBottomSheet,208,时间信息分组标题,时间信息,timeInfoSectionTitle
MobileTradeDetailBottomSheet,212,创建时间详情行,创建时间,creationTimeDetailRow
MobileTradeDetailBottomSheet,213,更新时间详情行,更新时间,updateTimeDetailRow
MobileTradeDetailBottomSheet,214,是否已平仓详情行,是否已平仓,isClosedDetailRow
MobileTradeDetailBottomSheet,214,是平仓状态,是,yesClosedStatus
MobileTradeDetailBottomSheet,214,否平仓状态,否,noClosedStatus
MobileTradeDetailBottomSheet,243,标签分组标题,标签,tagsSectionTitle
MobileTradeDetailBottomSheet,271,标签分组标题,标签,tagsSectionTitle
MobileTradeDetailBottomSheet,439,盈亏情况分组标题,盈亏情况,profitLossSituationSectionTitle
MobileTradeDetailBottomSheet,570,编辑按钮文本,编辑,editButton
MobileTradeDetailBottomSheet,584,确定按钮文本,确定,confirmButton
MobileTradeDetailBottomSheet,603,新建仓交易类型,新建仓,newPositionTradeType
MobileTradeDetailBottomSheet,605,提高均价交易类型,提高均价,increaseAveragePriceTradeType
MobileTradeDetailBottomSheet,607,降低均价交易类型,降低均价,decreaseAveragePriceTradeType
MobileTradeDetailBottomSheet,609,止盈交易类型,止盈,takeProfitTradeType
MobileTradeDetailBottomSheet,611,止损交易类型,止损,stopLossTradeType
MobileTradeDetailBottomSheet,613,成本价交易类型,成本价,costPriceTradeType
MobileTradeDetailBottomSheet,615,换出交易类型,换出,exchangeOutTradeType
MobileTradeDetailBottomSheet,617,换入交易类型,换入,exchangeInTradeType
MobileTradeDetailBottomSheet,619,平仓交易类型,平仓,closePositionTradeType
MobileTradeDetailBottomSheet,621,股息交易类型,股息,dividendTradeType
MobileTradeDetailBottomSheet,627,极度恐惧情绪描述,极度恐惧,extremeFearEmotionDescription
MobileTradeDetailBottomSheet,628,恐惧情绪描述,恐惧,fearEmotionDescription
MobileTradeDetailBottomSheet,629,中性情绪描述,中性,neutralEmotionDescription
MobileTradeDetailBottomSheet,630,贪婪情绪描述,贪婪,greedEmotionDescription
MobileTradeDetailBottomSheet,631,极度贪婪情绪描述,极度贪婪,extremeGreedEmotionDescription
MobileCurrentPositionCard,31,当前持仓标题,当前持仓,currentPositionTitle
MobileCurrentPositionCard,41,数量信息标签,数量,quantityInfoLabel
MobileCurrentPositionCard,52,均价信息标签,均价,averagePriceInfoLabel
MobileCurrentPositionCard,63,摊薄价信息标签,摊薄价,dilutedPriceInfoLabel
MobileCurrentPositionCard,74,盈亏信息标签,盈亏,profitLossInfoLabel
MobileCurrentPositionCard,117,暂无持仓数据提示,暂无持仓数据,noPositionDataMessage
MobileCurrentPositionCard,182,股息信息格式,股息: ${_formatSmartNumber(position['dividendAmount']?.toString() ?? '0')},dividendInfoFormat
MobilePortfolioSummaryCard,40,总资产标签,总资产,totalAssetsLabel
MobilePortfolioSummaryCard,97,现金余额标签,现金余额,cashBalanceLabel
MobilePortfolioSummaryCard,146,总盈亏标签,总盈亏,totalProfitLossLabel
MobilePortfolioSummaryCard,181,胜率标签,胜率,winRateLabel
MobilePortfolioSummaryCard,229,盈利金额标签,盈利金额,profitAmountLabel
MobilePortfolioSummaryCard,238,亏损金额标签,亏损金额,lossAmountLabel
MobilePortfolioSummaryCard,259,盈利次数标签,盈利次数,profitCountLabel
MobilePortfolioSummaryCard,268,亏损次数标签,亏损次数,lossCountLabel
MobilePortfolioSummaryCard,476,现金余额说明标题,现金余额说明,cashBalanceExplanationTitle
MobilePortfolioSummaryCard,482,现金余额说明内容,如果现金余额为负数，请检查入出金和持仓的价值是否合理。\n\n负数现金余额可能表示：\n• 入金记录不完整\n• 持仓价值计算有误\n• 出金记录异常,cashBalanceExplanationContent
MobilePortfolioSummaryCard,489,知道了按钮文本,知道了,gotItButton
MobileAddTradeScreenRegular,22,基本信息分组标题,基本信息,basicInfoSectionTitle
MobileAddTradeScreenRegular,105,交易日期输入标签,交易日期,tradingDateInputLabel
MobileAddTradeScreenRegular,108,交易日期输入提示,选择交易日期,tradingDateInputHint
MobileAddTradeScreenRegular,118,做多交易类型,做多,longTradeType
MobileAddTradeScreenRegular,123,平多交易类型,平多,closeLongTradeType
MobileAddTradeScreenRegular,128,做空交易类型,做空,shortTradeType
MobileAddTradeScreenRegular,133,平空交易类型,平空,closeShortTradeType
MobileAddTradeScreenRegular,145,交易类型输入标签,交易类型,tradeTypeInputLabel
MobileAddTradeScreenRegular,203,股票资产代码输入标签,股票/资产代码,stockAssetCodeInputLabel
MobileAddTradeScreenRegular,204,股票资产代码输入提示,例如: AAPL, BTC,stockAssetCodeInputHint
MobileAddTradeScreenRegular,204,请选择资产提示,请选择资产,pleaseSelectAssetHint
MobileAddTradeScreenRegular,218,请选择资产验证,请选择资产,pleaseSelectAssetValidation
MobileAddTradeScreenRegular,223,请输入股票资产代码验证,请输入股票/资产代码,pleaseEnterStockAssetCodeValidation
MobileAddTradeScreenRegular,235,选择持仓按钮提示,选择持仓,selectPositionTooltip
MobileAddTradeScreenRegular,262,价格输入标签,价格,priceInputLabel
MobileAddTradeScreenRegular,263,价格输入提示,输入价格,priceInputHint
MobileAddTradeScreenRegular,280,单价选项文本,单价,unitPriceOption
MobileAddTradeScreenRegular,284,总价选项文本,总价,totalPriceOption
MobileAddTradeScreenRegular,292,请输入价格验证,请输入价格,pleaseEnterPriceValidation
MobileAddTradeScreenRegular,295,请输入有效数字验证,请输入有效的数字,pleaseEnterValidNumberValidation
MobileAddTradeScreenRegular,312,数量输入标签,数量,quantityInputLabel
MobileAddTradeScreenRegular,313,数量输入提示,交易数量,quantityInputHint
MobileAddTradeScreenRegular,326,请输入数量验证,请输入数量,pleaseEnterQuantityValidation
MobileAddTradeScreenRegular,329,请输入有效数字验证,请输入有效的数字,pleaseEnterValidNumberValidation
MobileAddTradeScreenRegular,352,子持仓输入标签,子持仓,subPositionInputLabel
MobileAddTradeScreenRegular,354,请选择子持仓验证,请选择子持仓,pleaseSelectSubPositionValidation
MobileAddTradeScreenRegular,354,请选择子持仓可选验证,请选择子持仓 (可选),pleaseSelectSubPositionOptionalValidation
MobileAddTradeScreenExchange,21,兑换信息分组标题,兑换信息,exchangeInfoSectionTitle
MobileAddTradeScreenExchange,94,交易日期输入标签,交易日期,tradingDateInputLabel
MobileAddTradeScreenExchange,97,交易日期输入提示,选择交易日期,tradingDateInputHint
MobileAddTradeScreenExchange,118,兑出资产标题,兑出资产 (A),exchangeOutAssetTitle
MobileAddTradeScreenExchange,131,A资产数量输入标签,A资产数量,assetAQuantityInputLabel
MobileAddTradeScreenExchange,134,兑出数量输入提示,兑出数量,exchangeOutQuantityInputHint
MobileAddTradeScreenExchange,161,兑入资产标题,兑入资产 (B),exchangeInAssetTitle
MobileAddTradeScreenExchange,174,B资产数量输入标签,B资产数量,assetBQuantityInputLabel
MobileAddTradeScreenExchange,177,兑入数量输入提示,兑入数量,exchangeInQuantityInputHint
MobileAddTradeScreenExchange,206,股票资产代码输入标签,股票/资产代码,stockAssetCodeInputLabel
MobileAddTradeScreenExchange,207,股票资产代码输入提示,例如: AAPL, BTC,stockAssetCodeInputHint
MobileAddTradeScreenExchange,207,请选择资产提示,请选择资产,pleaseSelectAssetHint
MobileAddTradeScreenExchange,221,请选择资产验证,请选择资产,pleaseSelectAssetValidation
MobileAddTradeScreenExchange,226,请输入股票资产代码验证,请输入股票/资产代码,pleaseEnterStockAssetCodeValidation
MobileAddTradeScreenExchange,238,选择持仓按钮提示,选择持仓,selectPositionTooltip
MobileAddTradeScreenExchange,271,子持仓输入标签,子持仓,subPositionInputLabel
MobileAddTradeScreenExchange,273,请选择子持仓验证,请选择子持仓,pleaseSelectSubPositionValidation
MobileAddTradeScreenExchange,273,请选择子持仓可选验证,请选择子持仓 (可选),pleaseSelectSubPositionOptionalValidation
MobileAddTradeScreenExchange,274,子持仓描述,可选，用于区分不同批次,subPositionDescription
MobileAddTradeScreenExchange,289,请选择子持仓验证,请选择子持仓,pleaseSelectSubPositionValidation
MobileAddTradeScreenExchange,302,选择子持仓按钮提示,选择子持仓,selectSubPositionTooltip
MobileAddTradeScreenExchange,340,资产B代码输入标签,资产B代码,assetBCodeInputLabel
MobileAddTradeScreenExchange,341,资产B代码输入提示,输入或选择资产B,assetBCodeInputHint
MobileAddTradeScreenExchange,353,请输入或选择资产B代码验证,请输入或选择资产B代码,pleaseEnterOrSelectAssetBCodeValidation
MobileAddTradeScreenExchange,365,选择已有资产按钮提示,选择已有资产,selectExistingAssetTooltip
MobileAddTradeScreenExchange,399,子持仓资产B输入标签,子持仓 (资产B),subPositionAssetBInputLabel
MobileAddTradeScreenExchange,400,子持仓资产B输入提示,输入或选择子持仓,subPositionAssetBInputHint
MobileAddTradeScreenExchange,400,先输入资产B代码提示,先输入资产B代码,enterAssetBCodeFirstHint
MobileAddTradeScreenExchange,434,选择已有子持仓按钮提示,选择已有子持仓,selectExistingSubPositionTooltip
MobileAddTradeScreenExchange,487,请输入标签验证格式,请输入$label,pleaseEnterLabelValidationFormat
MobileAddTradeScreenExchange,490,请输入有效数字验证,请输入有效的数字,pleaseEnterValidNumberValidation
MobileAddTradeScreenExchange,496,请输入有效数字验证,请输入有效的数字,pleaseEnterValidNumberValidation
MobileEditTradeScreen,51,做多操作文本,做多,longOperationText
MobileEditTradeScreen,56,平多操作文本,平多,closeLongOperationText
MobileEditTradeScreen,61,做空操作文本,做空,shortOperationText
MobileEditTradeScreen,66,平空操作文本,平空,closeShortOperationText
MobileEditTradeScreen,71,兑换买入操作文本,兑换买入,exchangeBuyOperationText
MobileEditTradeScreen,76,兑换卖出操作文本,兑换卖出,exchangeSellOperationText
MobileEditTradeScreen,81,股息操作文本,股息,dividendOperationText
MobileEditTradeScreen,93,编辑交易记录页面标题,编辑交易记录,editTradeRecordPageTitle
MobileEditTradeScreen,148,保存中按钮文本,保存中...,savingButtonText
MobileEditTradeScreen,148,保存修改按钮文本,保存修改,saveChangesButtonText
MobileEditTradeScreen,213,兑换交易提示,提示: 您正在编辑兑换交易的一部分。请记得检查并手动修改对应的另一部分交易记录以保持数据一致。,exchangeTradeEditHint
MobileEditTradeScreen,237,基本信息分组标题,基本信息,basicInfoSectionTitle
MobileEditTradeScreen,250,主观情绪分组标题,主观情绪,subjectiveEmotionSectionTitle
MobileEditTradeScreen,260,附加信息分组标题,附加信息,additionalInfoSectionTitle
MobileEditTradeScreen,334,代码输入标签,代码,codeInputLabel
MobileEditTradeScreen,344,价格输入标签,价格,priceInputLabel
MobileEditTradeScreen,360,数量输入标签,数量,quantityInputLabel
MobileEditTradeScreen,374,当前均价标签,当前均价,currentAveragePriceLabel
MobileEditTradeScreen,383,摊薄均价标签,dilutedAveragePriceLabel
MobileEditTradeScreen,408,代码输入标签,代码,codeInputLabel
MobileEditTradeScreen,417,子持仓输入标签,子持仓,subPositionInputLabel
MobileEditTradeScreen,434,派息数量输入标签,派息数量,dividendQuantityInputLabel
MobileEditTradeScreen,445,派息金额输入标签,派息金额,dividendAmountInputLabel
MobileEditTradeScreen,463,交易日期输入标签,交易日期,tradingDateInputLabel
MobileEditTradeScreen,474,交易日期输入标签,交易日期,tradingDateInputLabel
MobileEditTradeScreen,477,交易日期输入提示,选择交易日期,tradingDateInputHint
MobileEditTradeScreen,547,请输入标签验证格式,请输入$label,pleaseEnterLabelValidationFormat
MobileEditTradeScreen,550,请输入有效数字验证,请输入有效的数字,pleaseEnterValidNumberValidation
MobileEditTradeScreen,556,请输入有效数字验证,请输入有效的数字,pleaseEnterValidNumberValidation
MobileEditTradeScreen,577,极度恐惧情绪描述,极度恐惧,extremeFearEmotionDescription
MobileEditTradeScreen,578,恐惧情绪描述,恐惧,fearEmotionDescription
MobileEditTradeScreen,579,中性情绪描述,中性,neutralEmotionDescription
MobileEditTradeScreen,580,贪婪情绪描述,贪婪,greedEmotionDescription
MobileEditTradeScreen,581,极度贪婪情绪描述,极度贪婪,extremeGreedEmotionDescription
MobileEditTradeScreen,593,恐惧贪婪指数标签,恐惧贪婪指数,fearGreedIndexLabel
MobileEditTradeScreen,652,极度恐惧标签,极度恐惧,extremeFearLabel
MobileEditTradeScreen,653,恐惧标签,恐惧,fearLabel
MobileEditTradeScreen,654,中性标签,中性,neutralLabel
MobileEditTradeScreen,655,贪婪标签,贪婪,greedLabel
MobileEditTradeScreen,656,极度贪婪标签,极度贪婪,extremeGreedLabel
MobileEditTradeScreen,683,已选标签标题,已选标签,selectedTagsTitle
MobileEditTradeScreen,710,常用标签标题,常用标签,commonTagsTitle
MobileEditTradeScreen,726,备注输入标签,备注,notesInputLabel
MobileEditTradeScreen,728,备注输入提示,相关备注信息,notesInputHint
MobileEditTradeScreen,741,标签输入标签,标签,tagsInputLabel
MobileEditTradeScreen,742,标签输入提示,输入标签，用空格分隔,tagsInputHint
MobileEditTradeScreen,755,添加标签按钮提示,添加标签,addTagTooltip
MobileEditTradeScreen,784,暂无常用标签提示,暂无常用标签,noCommonTagsMessage
