文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
AddTradeDialogRegular,226,股票资产代码标签,股票/资产代码,stockAssetCodeLabel
AddTradeDialogRegular,256,资产代码提示,例如: AAPL, BTC,assetCodeHint
AddTradeDialogRegular,256,请选择资产提示,请选择资产,pleaseSelectAssetHint
AddTradeDialogRegular,276,请选择资产验证错误,请选择资产,pleaseSelectAssetValidationError
AddTradeDialogRegular,281,请输入资产代码验证错误,请输入股票/资产代码,pleaseEnterAssetCodeValidationError
AddTradeDialogRegular,292,选择持仓工具提示,选择持仓,selectPositionTooltip
AddTradeDialogRegular,325,子持仓标签,子持仓,subPositionLabel
AddTradeDialogRegular,347,请选择子持仓提示,请选择子持仓,pleaseSelectSubPositionHint
AddTradeDialogRegular,347,请选择子持仓可选提示,请选择子持仓 (可选),pleaseSelectSubPositionOptionalHint
AddTradeDialogRegular,348,子持仓用途说明,可选，用于区分不同批次,subPositionUsageDescription
AddTradeDialogRegular,365,请选择子持仓验证错误,请选择子持仓,pleaseSelectSubPositionValidationError
AddTradeDialogRegular,382,选择子持仓工具提示,选择子持仓,selectSubPositionTooltip
AddTradeDialogRegular,416,价格标签,价格,priceLabel
AddTradeDialogRegular,434,输入总价提示,输入总价,enterTotalPriceHint
AddTradeDialogRegular,434,输入单价提示,输入单价,enterUnitPriceHint
AddTradeDialogRegular,458,单价选项文本,单价,unitPriceOptionText
AddTradeDialogRegular,462,总价选项文本,总价,totalPriceOptionText
AddTradeDialogRegular,470,请输入价格验证错误,请输入价格,pleaseEnterPriceValidationError
AddTradeDialogRegular,474,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
AddTradeDialogRegular,545,请输入字段验证错误格式,请输入$label,pleaseEnterFieldValidationErrorFormat
AddTradeDialogRegular,548,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
AddTradeDialogRegular,554,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
AddTradeDialogDividend,20,股息信息分组标题,股息信息,dividendInfoSectionTitle
AddTradeDialogDividend,37,派息数量字段标签,派息数量,dividendQuantityFieldLabel
AddTradeDialogDividend,39,股票数量提示,股票数量,stockQuantityHint
AddTradeDialogDividend,104,交易日期标签,交易日期,tradingDateLabel
AddTradeDialogDividend,142,股票资产代码标签,股票/资产代码,stockAssetCodeLabel
AddTradeDialogDividend,172,资产代码提示,例如: AAPL, BTC,assetCodeHint
AddTradeDialogDividend,172,请选择资产提示,请选择资产,pleaseSelectAssetHint
AddTradeDialogDividend,192,请选择资产验证错误,请选择资产,pleaseSelectAssetValidationError
AddTradeDialogDividend,197,请输入资产代码验证错误,请输入股票/资产代码,pleaseEnterAssetCodeValidationError
AddTradeDialogDividend,208,选择持仓工具提示,选择持仓,selectPositionTooltip
AddTradeDialogDividend,241,子持仓标签,子持仓,subPositionLabel
AddTradeDialogDividend,263,请选择子持仓提示,请选择子持仓,pleaseSelectSubPositionHint
AddTradeDialogDividend,263,请选择子持仓可选提示,请选择子持仓 (可选),pleaseSelectSubPositionOptionalHint
AddTradeDialogDividend,264,子持仓用途说明,可选，用于区分不同批次,subPositionUsageDescription
AddTradeDialogDividend,281,请选择子持仓验证错误,请选择子持仓,pleaseSelectSubPositionValidationError
AddTradeDialogDividend,298,选择子持仓工具提示,选择子持仓,selectSubPositionTooltip
AddTradeDialogDividend,332,股息金额标签,股息金额,dividendAmountLabel
AddTradeDialogDividend,350,输入总金额提示,输入总金额,enterTotalAmountHint
AddTradeDialogDividend,350,输入每股派息提示,输入每股派息,enterPerShareDividendHint
AddTradeDialogDividend,374,每股派息选项文本,每股派息,perShareDividendOptionText
AddTradeDialogDividend,378,总金额选项文本,总金额,totalAmountOptionText
AddTradeDialogDividend,386,请输入股息金额验证错误,请输入股息金额,pleaseEnterDividendAmountValidationError
AddTradeDialogDividend,390,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
AddTradeDialogDividend,461,请输入字段验证错误格式,请输入$label,pleaseEnterFieldValidationErrorFormat
AddTradeDialogDividend,464,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
AddTradeDialogDividend,470,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
AddTradeSentimentSection,13,主观情绪分组标题,主观情绪,subjectiveEmotionSectionTitle
AddTradeSentimentSection,72,极度恐惧情绪文本,极度恐惧,extremeFearEmotionText
AddTradeSentimentSection,73,恐惧情绪文本,恐惧,fearEmotionText
AddTradeSentimentSection,74,中性情绪文本,中性,neutralEmotionText
AddTradeSentimentSection,75,贪婪情绪文本,贪婪,greedEmotionText
AddTradeSentimentSection,76,极度贪婪情绪文本,极度贪婪,extremeGreedEmotionText
AddTradeSentimentSection,89,恐惧贪婪指数标签,恐惧贪婪指数,fearGreedIndexLabel
AddTradeSentimentSection,92,恐惧贪婪指数工具提示,这是您添加这笔交易时的主观心理感受\n经过多次统计后，会显示在各种心理状态下的胜率,fearGreedIndexTooltip
AddTradeSentimentSection,164,极度恐惧标签,极度恐惧,extremeFearLabel
AddTradeSentimentSection,165,恐惧标签,恐惧,fearLabel
AddTradeSentimentSection,166,中性标签,中性,neutralLabel
AddTradeSentimentSection,167,贪婪标签,贪婪,greedLabel
AddTradeSentimentSection,168,极度贪婪标签,极度贪婪,extremeGreedLabel
AddTradeAdditionalInfoSection,19,附加信息分组标题,附加信息,additionalInfoSectionTitle
AddTradeAdditionalInfoSection,44,备注字段标签,备注,remarksFieldLabel
AddTradeAdditionalInfoSection,45,相关备注信息提示,相关备注信息,relatedRemarksInfoHint
AddTradeAdditionalInfoSection,101,标签字段标签,标签,tagsFieldLabel
AddTradeAdditionalInfoSection,113,输入标签提示,输入标签，用空格分隔,enterTagsHint
AddTradeAdditionalInfoSection,129,添加标签工具提示,添加标签,addTagTooltip
AddTradeAdditionalInfoSection,150,已选标签标题,已选标签,selectedTagsTitle
AddTradeAdditionalInfoSection,181,常用标签标题,常用标签,commonTagsTitle
AddTradeAdditionalInfoSection,196,暂无常用标签提示,暂无常用标签,noCommonTagsMessage
AddTradeAdditionalInfoSection,231,移除标签工具提示,移除,removeTagTooltip
AddTradeAdditionalInfoSection,231,添加标签工具提示,添加,addTagTooltip
AddTradeAdditionalInfoSection,306,请输入字段验证错误格式,请输入$label,pleaseEnterFieldValidationErrorFormat
AddTradeAdditionalInfoSection,309,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
AddTradeAdditionalInfoSection,315,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
AddTradeDialogExchange,23,兑换信息分组标题,兑换信息,exchangeInfoSectionTitle
AddTradeDialogExchange,48,兑出资产A标题,兑出资产 (A),exchangeFromAssetATitle
AddTradeDialogExchange,57,A资产数量字段标签,A资产数量,aAssetQuantityFieldLabel
AddTradeDialogExchange,59,兑出数量提示,兑出数量,exchangeFromQuantityHint
AddTradeDialogExchange,98,兑入资产B标题,兑入资产 (B),exchangeToAssetBTitle
AddTradeDialogExchange,107,B资产数量字段标签,B资产数量,bAssetQuantityFieldLabel
AddTradeDialogExchange,109,兑入数量提示,兑入数量,exchangeToQuantityHint
EditTradeDialog,65,做多操作文本,做多,longOperationText
EditTradeDialog,70,平多操作文本,平多,closeLongOperationText
EditTradeDialog,75,做空操作文本,做空,shortOperationText
EditTradeDialog,80,平空操作文本,平空,closeShortOperationText
EditTradeDialog,85,兑换买入操作文本,兑换买入,swapBuyOperationText
EditTradeDialog,90,兑换卖出操作文本,兑换卖出,swapSellOperationText
EditTradeDialog,95,股息操作文本,股息,dividendOperationText
EditTradeDialog,119,编辑交易记录对话框标题,编辑交易记录,editTradingRecordDialogTitle
