文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobileHistoryRecords,604,平仓状态,平仓,closeStatus
MobileHistoryRecords,606,股息状态,股息,dividendStatus
MobileSubPositionCard,90,多头方向标签,多头,longDirectionLabel
MobileSubPositionCard,90,空头方向标签,空头,shortDirectionLabel
MobileSubPositionCard,113,父持仓显示格式,父持仓: ${parentPosition.positionSymbol},parentPositionDisplayFormat
MobileSubPositionCard,129,均价信息项标签,均价,averagePriceInfoLabel
MobileSubPositionCard,137,摊薄均价信息项标签,摊薄均价,dilutedAvgPriceInfoLabel
MobileSubPositionCard,143,盈亏信息项标签,盈亏,profitLossInfoLabel
MobileSubPositionCard,158,开仓日期信息项标签,开仓日期,openDateInfoLabel
MobileSubPositionCard,165,平仓日期信息项标签,平仓日期,closeDateInfoLabel
MobileSubPositionCard,172,持仓天数信息项标签,持仓天数,holdingDaysInfoLabel
MobileSubPositionCard,173,持仓天数格式,${holdingDays}天,holdingDaysFormat
MobileSubPositionCard,189,手续费信息项标签,手续费,feeInfoLabel
MobileSubPositionCard,198,股息信息项标签,股息,dividendInfoLabel
MobileTradeDetailSheet,129,基本信息分组标题,基本信息,basicInformationSectionTitle
MobileTradeDetailSheet,132,交易日期信息行,交易日期,tradeDateInfoRow
MobileTradeDetailSheet,133,标的代码信息行,标的代码,symbolInfoRow
MobileTradeDetailSheet,135,子持仓信息行,子持仓,subPositionInfoRow
MobileTradeDetailSheet,136,交易状态信息行,交易状态,tradeStatusInfoRow
MobileTradeDetailSheet,145,交易详情分组标题,交易详情,tradeDetailsSectionTitle
MobileTradeDetailSheet,148,价格信息行,价格,priceInfoRow
MobileTradeDetailSheet,149,数量信息行,数量,quantityInfoRow
MobileTradeDetailSheet,150,总金额信息行,总金额,totalAmountInfoRow
MobileTradeDetailSheet,152,当前均价信息行,当前均价,currentAvgPriceInfoRow
MobileTradeDetailSheet,154,摊薄均价信息行,摊薄均价,dilutedAvgPriceInfoRow
MobileTradeDetailSheet,164,盈亏信息分组标题,盈亏信息,profitLossInformationSectionTitle
MobileTradeDetailSheet,167,盈亏金额信息行,盈亏金额,profitLossAmountInfoRow
MobileTradeDetailSheet,169,盈亏比例信息行,盈亏比例,profitLossPercentageInfoRow
MobileTradeDetailSheet,178,费用信息分组标题,费用信息,feeInformationSectionTitle
MobileTradeDetailSheet,182,手续费信息行,手续费,feeInfoRow
MobileTradeDetailSheet,184,股息金额信息行,股息金额,dividendAmountInfoRow
MobileTradeDetailSheet,194,备注信息分组标题,备注信息,noteInformationSectionTitle
MobileTradeDetailSheet,375,计算错误提示,计算错误,calculationErrorMessage
MobileTradeDetailSheet,403,买入开多操作文本,买入开多,buyOpenLongOperationText
MobileTradeDetailSheet,405,卖出开空操作文本,卖出开空,sellOpenShortOperationText
MobileTradeDetailSheet,407,卖出平多操作文本,卖出平多,sellCloseLongOperationText
MobileTradeDetailSheet,409,买入平空操作文本,买入平空,buyCloseShortOperationText
MobileTradeDetailSheet,411,换出操作文本,换出,swapFromOperationText
MobileTradeDetailSheet,413,换入操作文本,换入,swapToOperationText
MobileTradeDetailSheet,415,股息操作文本,股息,dividendOperationText
MobileTradeDetailSheet,423,新建仓状态文本,新建仓,newPositionStatusText
MobileTradeDetailSheet,425,提高均价状态文本,提高均价,raiseAvgPriceStatusText
MobileTradeDetailSheet,427,降低均价状态文本,降低均价,lowerAvgPriceStatusText
MobileTradeDetailSheet,429,止盈状态文本,止盈,takeProfitStatusText
MobileTradeDetailSheet,431,止损状态文本,止损,stopLossStatusText
MobileTradeDetailSheet,433,成本价状态文本,成本价,costPriceStatusText
MobileTradeDetailSheet,435,换出状态文本,换出,swapFromStatusText
MobileTradeDetailSheet,437,换入状态文本,换入,swapToStatusText
MobileTradeDetailSheet,439,平仓状态文本,平仓,closeStatusText
MobileTradeDetailSheet,441,股息状态文本,股息,dividendStatusText
