文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
TradingFrequencyChart,80,卖出交易工具提示格式,卖出: ${barData.sellCount}笔,sellTradeTooltipFormat
TradingFrequencyChart,173,总交易统计标签,总交易,totalTradesLabel
TradingFrequencyChart,179,买入交易统计标签,买入交易,buyTradesLabel
TradingFrequencyChart,185,卖出交易统计标签,卖出交易,sellTradesLabel
FearGreedProfitChart,31,恐惧贪婪指数盈亏比率标题,恐惧贪婪指数盈亏比率,fearGreedProfitRatioChartTitle
FearGreedProfitChart,35,恐惧贪婪指数工具提示,显示所选时间范围内恐惧贪婪指数与交易盈亏关系,fearGreedIndexTooltip
FearGreedProfitChart,150,盈利工具提示格式,盈利: ¥${item.netProfitLoss.toStringAsFixed(2)},profitTooltipFormat
FearGreedProfitChart,153,亏损工具提示格式,亏损: ¥${item.netProfitLoss.abs().toStringAsFixed(2)},lossTooltipFormat
FearGreedProfitChart,156,盈亏平衡工具提示,盈亏: ¥0.00,breakEvenTooltip
FearGreedProfitChart,196,交易笔数格式,${item.totalTrades}笔,tradeCountFormat
FearGreedProfitChart,214,总盈利格式,总盈利: ¥${totalNetProfitLoss.toStringAsFixed(2)},totalProfitFormat
FearGreedProfitChart,217,总亏损格式,总亏损: ¥${totalNetProfitLoss.abs().toStringAsFixed(2)},totalLossFormat
FearGreedProfitChart,220,总盈亏格式,总盈亏: ¥0.00,totalProfitLossFormat
FearGreedProfitChart,234,总览统计标题,总览统计,overviewStatisticsTitle
FearGreedProfitChart,245,总交易次数标签,总交易次数,totalTradeCountLabel
FearGreedProfitChart,252,总交易次数格式,${controller.getTotalVisibleTrades()}笔,totalTradeCountFormat
FearGreedProfitChart,272,盈亏状态格式,${totalNetProfitLoss != 0 ? (totalNetProfitLoss > 0 ? '盈利' : '亏损') : '持平'},profitLossStatusFormat
FearGreedProfitChart,297,加载失败错误文本,加载数据失败,loadDataFailedError
FearGreedProfitChart,303,重试按钮文本,重试,retryButton
FearGreedProfitChart,323,无数据标题,暂无数据,noDataTitle
FearGreedProfitChart,325,无交易记录描述,所选时间范围内无交易记录,noTradingRecordsDescription
SnapshotEditDialog,63,资产状况分组标题,资产状况,assetStatusSectionTitle
SnapshotEditDialog,68,盈亏数据分组标题,盈亏数据,profitLossDataSectionTitle
SnapshotEditDialog,73,交易次数统计分组标题,交易次数统计,tradeCountStatisticsSectionTitle
SnapshotEditDialog,107,修改快照数据标题格式,修改 ${controller.getFormattedDate()} 快照数据,modifySnapshotDataTitleFormat
SnapshotEditDialog,117,关闭工具提示,关闭,closeTooltip
SnapshotEditDialog,145,自动计算相关字段标签,自动计算相关字段,autoCalculateRelatedFieldsLabel
SnapshotEditDialog,191,累计入金金额标签,累计入金金额,cumulativeDepositAmountLabel
SnapshotEditDialog,202,累计出金金额标签,累计出金金额,cumulativeWithdrawalAmountLabel
SnapshotEditDialog,213,净入金金额标签,净入金金额,netDepositAmountLabel
SnapshotEditDialog,229,总持仓成本标签,总持仓成本,totalPositionCostLabel
SnapshotEditDialog,240,总市值标签,总市值,totalMarketValueLabel
SnapshotEditDialog,251,现金余额标签,现金余额,cashBalanceLabel
SnapshotEditDialog,266,总资产标签,总资产,totalAssetsLabel
SnapshotEditDialog,278,收益率标签,收益率,returnRateLabel
SnapshotEditDialog,304,未实现盈亏标签,未实现盈亏,unrealizedProfitLossLabel
SnapshotEditDialog,316,已实现盈亏标签,已实现盈亏,realizedProfitLossLabel
SnapshotEditDialog,327,总盈亏标签,总盈亏,totalProfitLossLabel
SnapshotEditDialog,343,盈利金额标签,盈利金额,profitAmountLabel
SnapshotEditDialog,354,亏损金额标签,亏损金额,lossAmountLabel
SnapshotEditDialog,376,盈利次数标签,盈利次数,profitCountLabel
SnapshotEditDialog,391,亏损次数标签,亏损次数,lossCountLabel
SnapshotEditDialog,431,字段更新警告文本,注意：更新某些字段可能会导致与其他字段的计算结果不一致，建议同时更新相关联的字段或开启自动计算功能。,fieldUpdateWarningText
SnapshotEditDialog,458,已修改字段数量格式,已修改 ${controller.changedFields.length} 个字段,modifiedFieldCountFormat
SnapshotEditDialog,472,取消按钮文本,取消,cancelButton
SnapshotEditDialog,497,保存修改按钮文本,保存修改,saveModificationsButton
SnapshotEditDialog,555,不能为空验证错误,不能为空,cannotBeEmptyValidationError
SnapshotEditDialog,562,请输入有效数字验证错误,请输入有效的数字,pleaseEnterValidNumberValidationError
SnapshotEditDialog,568,不能为空验证错误,不能为空,cannotBeEmptyValidationError
SnapshotEditDialog,572,请输入有效整数验证错误,请输入有效的整数,pleaseEnterValidIntegerValidationError
